pid,name,brand,url,price,old_price,in_stock,labels,scraped_at
52790,Anabolic Monster Beef Protein - 33 г,Amix,https://belok.ua/ua/anabolic-monster-beef-protein-1000-g-forest-fruits-1/,79.0,,False,,2026-09-09 15:25
53779,Whey Core - 900 г,Nutrend,https://belok.ua/ua/whey-core/,1575.0,,False,,2026-09-09 15:25
53467,Ultra Premium Whey Protein Build - 34 г,Everbuild Nutrition,https://belok.ua/ua/ultra-premium-whey-protein-build/,55.0,,False,,2026-09-09 15:25
52532,ZeroPro Protein - 1 кг,Amix,https://belok.ua/ua/zeropro-protein-1000-g-creamy-vanilla-cheescake-1/,2595.0,,False,,2026-09-09 15:25
50043,"Syntha-6 - 2,27 кг",BSN,https://belok.ua/ua/bsn-syntha-6/,3985.0,,False,,2026-09-09 15:25
52533,ZeroPro Protein - 2 кг,Amix,https://belok.ua/ua/zeropro-protein-1000-g-creamy-vanilla-cheescake-1/,4999.0,,False,,2026-09-09 15:25
52993,Whey 100% Protein - 1 кг,Sporter,https://belok.ua/ua/whey-100-protein-1-kg-polunicya-1/,1658.0,,False,,2026-09-09 15:25
52994,Whey 100% Protein (lactose free) - 1 кг,Sporter,https://belok.ua/ua/whey-100-protein-1-kg-vanil-lactose-free-1/,1699.0,,False,,2026-09-09 15:25
53836,100% Whey Protein - 700 г,Ostrovit,https://belok.ua/ua/100-whey-protein/,999.0,,False,,2026-09-09 15:25
52757,AmixPro Micelle HD Casein - 700 г,Amix,https://belok.ua/ua/amixpro-micelle-hd-casein-700-g-2/,1199.0,,False,,2026-09-09 15:25
52108,100% Whey Protein - 500 г,IronMaxx,https://belok.ua/ua/100-whey-protein-2350-gr-banka-francuzskaya-vanil-1/,1097.0,,False,Хіт продажу,2026-09-09 15:25
50338,"100% Gold Standard Casein - 1,8 кг",Optimum Nutrition,https://belok.ua/ua/optimum-nutrition-100-gold-standard-casein/,3698.0,,False,,2026-09-09 15:25
52984,Iso Whey ProZero - 2250 г,Nutrend,https://belok.ua/ua/iso-whey-prozero-2250-g-bilij-shokolad-1/,4359.0,,False,,2026-09-09 15:25
50042,"Syntha-6 - 1,32 кг",BSN,https://belok.ua/ua/bsn-syntha-6/,2448.0,,False,,2026-09-09 15:25
50337,100% Gold Standard Casein - 850 грам,Optimum Nutrition,https://belok.ua/ua/optimum-nutrition-100-gold-standard-casein/,2099.0,,False,,2026-09-09 15:25
52531,ZeroPro Protein - 35 г,Amix,https://belok.ua/ua/zeropro-protein-1000-g-creamy-vanilla-cheescake-1/,110.0,,False,,2026-09-09 15:25
53596,Whey Isolate - 480 г,Rule 1,https://belok.ua/ua/protein-480-g-shokolad-1/,1449.0,,False,,2026-09-09 15:25
53469,Ultra Premium Whey Protein Build - 908 г,Everbuild Nutrition,https://belok.ua/ua/ultra-premium-whey-protein-build/,1377.0,,False,Хіт продажу,2026-09-09 15:25
53380,Micellar Casein Build - 908 г,Everbuild Nutrition,https://belok.ua/ua/micellar-casein-build-1816-g-shokolad-1/,1245.0,,False,,2026-09-09 15:25
53487,Whey Protein Build 2.0 - 500 г,Everbuild Nutrition,https://belok.ua/ua/whey-protein-build-20-2270-g-solona-karamel/,759.0,,False,,2026-09-09 15:25
53443,Ultra Hydrolezed ISO Build - 2270 г,Everbuild Nutrition,https://belok.ua/ua/iso-build-protein-isolate-28-g-pechivokrem/,4099.0,,False,Хіт продажу,2026-09-09 15:25
53445,Ultra Hydrolezed ISO Build - 454 г,Everbuild Nutrition,https://belok.ua/ua/iso-build-protein-isolate-28-g-pechivokrem/,999.0,,False,,2026-09-09 15:25
53468,Ultra Premium Whey Protein Build - 2271 г,Everbuild Nutrition,https://belok.ua/ua/ultra-premium-whey-protein-build/,2658.0,,False,Хіт продажу,2026-09-09 15:25
53378,Micellar Casein Build - 1816 г,Everbuild Nutrition,https://belok.ua/ua/micellar-casein-build-1816-g-shokolad-1/,2335.0,,False,,2026-09-09 15:25
53470,Ultra Premium Whey Protein Build - 454 г,Everbuild Nutrition,https://belok.ua/ua/ultra-premium-whey-protein-build/,788.0,,False,,2026-09-09 15:25
53442,Ultra Hydrolezed ISO Build - 28 г,Everbuild Nutrition,https://belok.ua/ua/iso-build-protein-isolate-28-g-pechivokrem/,67.0,,False,,2026-09-09 15:25
53488,Whey Protein Build 2.0 - 1000 г,Everbuild Nutrition,https://belok.ua/ua/whey-protein-build-20-2270-g-solona-karamel/,1245.0,,False,,2026-09-09 15:25
53444,Ultra Hydrolezed ISO Build - 908 г,Everbuild Nutrition,https://belok.ua/ua/iso-build-protein-isolate-28-g-pechivokrem/,1799.0,,False,Хіт продажу,2026-09-09 15:25
32859,Whey Protein - 455 г - Шоколад,Rule 1,https://belok.ua/ua/r1-whey-blend-476-g-shokolad/,1235.0,,True,В наявності,2026-09-09 15:25
